c1,c2,stim,isPlural
gad,about,gadabout,0
knock,about,knockabout,0
turn,about,turnabout,0
walk,about,walkabout,0
run,about,runabout,0
round,about,roundabout,0
roust,about,roustabout,0
lay,about,layabout,0
where,abouts,whereabouts,1
over,abundance,overabundance,0
head,ache,headache,0
belly,ache,bellyache,0
heart,ache,heartache,0
ear,ache,earache,0
back,ache,backache,0
stomach,ache,stomachache,0
tooth,ache,toothache,0
over,achiever,overachiever,0
under,achiever,underachiever,0
wise,acre,wiseacre,0
over,acting,overacting,0
play,acting,playacting,0
here,after,hereafter,0
over,age,overage,0
news,agent,newsagent,0
mid,air,midair,0
catch,all,catchall,0
carry,all,carryall,0
cover,all,coverall,0
hold,all,holdall,0
over,all,overall,0
sing,along,singalong,0
pine,apple,pineapple,0
yard,arm,yardarm,0
fire,arm,firearm,0
turn,around,turnaround,0
wrap,around,wraparound,0
pot,ash,potash,0
grand,aunt,grandaunt,0
break,away,breakaway,0
stow,away,stowaway,0
straight,away,straightaway,0
get,away,getaway,0
cast,away,castaway,0
throw,away,throwaway,0
tear,away,tearaway,0
take,away,takeaway,0
cut,away,cutaway,0
run,away,runaway,0
give,away,giveaway,0
hide,away,hideaway,0
walk,away,walkaway,0
brad,awl,bradawl,0
pole,axe,poleaxe,0
cry,baby,crybaby,0
razor,back,razorback,0
sling,back,slingback,0
throw,back,throwback,0
canvas,back,canvasback,0
paper,back,paperback,0
feed,back,feedback,0
hump,back,humpback,0
full,back,fullback,0
kick,back,kickback,0
flash,back,flashback,0
half,back,halfback,0
green,back,greenback,0
fat,back,fatback,0
buy,back,buyback,0
tie,back,tieback,0
hard,back,hardback,0
hunch,back,hunchback,0
quarter,back,quarterback,0
out,back,outback,0
fall,back,fallback,0
cut,back,cutback,0
roll,back,rollback,0
horse,back,horseback,0
draw,back,drawback,0
hatch,back,hatchback,0
call,back,callback,0
diamond,back,diamondback,0
piggy,back,piggyback,0
pay,back,payback,0
hog,back,hogback,0
play,back,playback,0
tail,back,tailback,0
set,back,setback,0
moss,back,mossback,0
pull,back,pullback,0
soft,back,softback,0
line,backer,linebacker,0
school,bag,schoolbag,0
bean,bag,beanbag,0
gas,bag,gasbag,0
feed,bag,feedbag,0
money,bag,moneybag,0
hand,bag,handbag,0
saddle,bag,saddlebag,0
carpet,bag,carpetbag,0
sand,bag,sandbag,0
flea,bag,fleabag,0
wind,bag,windbag,0
mail,bag,mailbag,0
post,bag,postbag,0
