c1,c2,stim,isPlural
gad,about,gadabout,0
knock,about,knockabout,0
turn,about,turnabout,0
race,about,raceabout,0
walk,about,walkabout,0
run,about,runabout,0
round,about,roundabout,0
roust,about,roustabout,0
lay,about,layabout,0
walk,abouts,walkabouts,1
roust,abouts,roustabouts,1
run,abouts,runabouts,1
turn,abouts,turnabouts,1
round,abouts,roundabouts,1
where,abouts,whereabouts,1
over,abundance,overabundance,0
head,ache,headache,0
belly,ache,bellyache,0
heart,ache,heartache,0
ear,ache,earache,0
back,ache,backache,0
stomach,ache,stomachache,0
tooth,ache,toothache,0
head,aches,headaches,1
heart,aches,heartaches,1
belly,aches,bellyaches,1
ear,aches,earaches,1
stomach,aches,stomachaches,1
tooth,aches,toothaches,1
back,aches,backaches,1
over,achiever,overachiever,0
under,achiever,underachiever,0
under,achievers,underachievers,1
over,achievers,overachievers,1
wise,acre,wiseacre,0
wise,acres,wiseacres,1
over,acting,overacting,0
play,acting,playacting,0
over,activity,overactivity,0
play,actor,playactor,0
sides,addle,sidesaddle,0
packs,addle,packsaddle,0
sides,addles,sidesaddles,1
packs,addles,packsaddles,1
here,after,hereafter,0
mid,afternoon,midafternoon,0
here,afters,hereafters,1
over,age,overage,0
news,agent,newsagent,0
news,agents,newsagents,1
over,ages,overages,1
barm,aid,barmaid,0
barm,aids,barmaids,1
lugs,ail,lugsail,0
gaffs,ail,gaffsail,0
tops,ail,topsail,0
pent,ail,pentail,0
paras,ail,parasail,0
stays,ail,staysail,0
heads,ail,headsail,0
triplet,ail,tripletail,0
mains,ail,mainsail,0
pint,ail,pintail,0
paras,ailing,parasailing,0
lugs,ails,lugsails,1
mains,ails,mainsails,1
tops,ails,topsails,1
mid,air,midair,0
rep,airman,repairman,0
rep,airmen,repairmen,0
wholes,ale,wholesale,0
wholes,ales,wholesales,1
catch,all,catchall,0
carry,all,carryall,0
cover,all,coverall,0
hold,all,holdall,0
over,all,overall,0
sing,along,singalong,0
tag,along,tagalong,0
fired,amp,firedamp,0
choked,amp,chokedamp,0
greens,and,greensand,0
over,anxiety,overanxiety,0
may,apple,mayapple,0
bake,apple,bakeapple,0
crab,apple,crabapple,0
pine,apple,pineapple,0
pine,apples,pineapples,1
over,appraisal,overappraisal,0
yard,arm,yardarm,0
fire,arm,firearm,0
yard,arms,yardarms,1
fire,arms,firearms,1
turn,around,turnaround,0
wrap,around,wraparound,0
pot,ash,potash,0
dumb,ass,dumbass,0
